date,home_team,away_team,home_win_rate,odds_1,home_team_prob,prob_used,EV_€_per_100,EV_live_€_per_100,win,home_team_won,pnl_100,home_ml_pnl_100
2026-04-28,BOS,PHI,0.8,1.18,0.6123950825325944,0.6123950825325944,,,0,0,-100.0,-100.0
2026-04-29,CLE,TOR,0.75,1.25,0.5522299583443305,0.5522299583443305,,,1,1,25.0,25.0
2026-04-29,DET,ORL,0.75,1.25,0.6772715290772986,0.6772715290772986,,,1,1,25.0,25.0
2026-04-29,LAL,HOU,0.8,1.54,0.5347893720993147,0.5347893720993147,,,0,0,-100.0,-100.0
2026-05-01,TOR,CLE,0.6,2.45,0.7658646278080328,0.7658646278080328,,,1,1,145.00000000000003,145.00000000000003
2026-05-01,ORL,DET,0.65,2.36,0.5802346066524035,0.5802346066524035,,,0,0,-100.0,-100.0
2026-05-01,HOU,LAL,0.7,1.59,0.5320007383609971,0.5320007383609971,,,0,0,-100.0,-100.0
2026-05-02,BOS,PHI,0.75,1.38,0.6405220181591772,0.6405220181591772,,,0,0,-100.0,-100.0
2026-05-03,DET,ORL,0.75,1.31,0.6938677935355669,0.6938677935355669,,,1,1,31.000000000000007,31.000000000000007
2026-05-03,CLE,TOR,0.8,1.34,0.5275021187188095,0.5275021187188095,,,1,1,34.00000000000001,34.00000000000001
2026-05-04,NYK,PHI,0.75,1.34,0.7870263787739201,0.7870263787739201,,,1,1,34.00000000000001,34.00000000000001
2026-05-04,SAS,MIN,0.85,1.2,0.6249161510148495,0.6249161510148495,,,0,0,-100.0,-100.0
2026-05-05,DET,CLE,0.75,1.68,0.656437841840934,0.656437841840934,,,1,1,68.0,68.0
2026-05-05,OKC,LAL,0.8,1.11,0.6798859703888357,0.6798859703888357,,,1,1,11.00000000000001,11.00000000000001
2026-05-06,NYK,PHI,0.75,1.34,0.8065014290970405,0.8065014290970405,,,1,1,34.00000000000001,34.00000000000001
2026-05-06,SAS,MIN,0.8,1.25,0.7068294575395369,0.7068294575395369,,,1,1,25.0,25.0
2026-05-07,DET,CLE,0.75,1.62,0.6532357327973056,0.6532357327973056,,,1,1,62.000000000000014,62.000000000000014
2026-05-07,OKC,LAL,0.85,1.11,0.811551042147728,0.811551042147728,,,1,1,11.00000000000001,11.00000000000001
2026-05-08,PHI,NYK,0.65,1.82,0.5855886881764708,0.5855886881764708,,,0,0,-100.0,-100.0
2026-05-12,SAS,MIN,0.8,1.26,0.688506195469906,0.688506195469906,,,1,1,26.0,26.0
2026-05-13,DET,CLE,0.8,1.56,0.504711586553746,0.504711586553746,,,0,0,-100.0,-100.0
2026-05-15,CLE,DET,0.85,1.57,0.6188057090201048,0.6188057090201048,,,0,0,-100.0,-100.0
2026-05-15,MIN,SAS,0.65,2.6,0.5094336907913627,0.5094336907913627,,,0,0,-100.0,-100.0
2026-05-17,DET,CLE,0.75,1.56,0.6408278423179323,0.6408278423179323,,,0,0,-100.0,-100.0
2026-05-18,OKC,SAS,0.85,1.41,0.5261374567095911,0.5261374567095911,,,0,0,-100.0,-100.0
2026-05-19,NYK,CLE,0.75,1.38,0.7620023524204657,0.7620023524204657,,,1,1,37.999999999999986,37.999999999999986
2026-05-20,OKC,SAS,0.8,1.42,0.5925200799748186,0.5925200799748186,,,1,1,41.99999999999999,41.99999999999999
2026-05-21,NYK,CLE,0.75,1.46,0.7745430254473508,0.7745430254473508,,,1,1,46.0,46.0
2026-05-22,SAS,OKC,0.8,1.8,0.7121002721478685,0.7121002721478685,,,0,0,-100.0,-100.0
2026-05-23,CLE,NYK,0.8,1.74,0.5913714810225579,0.5913714810225579,,,0,0,-100.0,-100.0
2026-05-24,SAS,OKC,0.75,1.7,0.7303022488505013,0.7303022488505013,,,1,1,70.0,70.0
2026-05-25,CLE,NYK,0.75,2.2,0.5284811157730231,0.5284811157730231,,,0,0,-100.0,-100.0
2026-05-26,OKC,SAS,0.85,1.59,0.564078259323867,0.564078259323867,,,1,1,59.00000000000001,59.00000000000001
2026-05-28,SAS,OKC,0.75,1.62,0.6964650151190225,0.6964650151190225,,,1,1,62.000000000000014,62.000000000000014
