date,home_team,away_team,home_team_prob,odds_home,odds_away,result_raw,source_file,source_file_date,game_key,actual_winner,actual_game_played,actual_home_win,model_selected_side,model_selected_team,model_correct,model_odds,model_pnl_flat_100,model_roi_pct_flat_100,pregame_snapshot_file,pregame_snapshot_path,pregame_snapshot_source_date,pregame_snapshot_source_type,pregame_engine_state,pregame_params_used_json,pregame_shortlist_membership,pregame_watchlist_membership,pregame_blocked_by,pregame_model_market_gap,pregame_EV_€_per_100,pregame_prob_used,pregame_odds_1,pregame_odds_2,pregame_prob_live_oos_proxy,pregame_prob_iso_oos_time,pregame_live_oos_proxy_ready,pregame_live_oos_proxy_used,pregame_live_oos_proxy_train_rows,pregame_live_oos_proxy_bin_n,pregame_live_oos_proxy_bin_winrate,pregame_qualitative_vibe_notes,script11_artifact_file,script11_artifact_path,script11_artifact_source_date,script11_engine_state,script11_decision,script11_stage2_candidate_type,script11_blocked_by,script11_rules_passed,script11_ev_per_100,script11_prob_used,script11_odds_1,script11_home_win_rate,script11_pass_hw,script11_pass_odds,script11_pass_prob,script11_pass_ev,script11_canonical_signal,script11_allowed_review_type,script11_source,script11_params_chosen,legacy_strategy_qualified,canonical_model_bet,decision_bucket,strategy_qualified,user_bet_placed,user_bets_settled,user_bet_side,user_bet_team,user_bet_market,user_bet_odds,user_stake,user_won,user_pnl,pregame_snapshot_available,user_bet_aligned_with_model,user_bet_outside_model,user_skipped_model_bet,user_correctly_skipped_watch_only,user_bet_has_pnl,user_bet_has_result
2026-01-28,MIA,ORL,0.4549776478734623,1.68,2.24,ORL,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-28|MIA|ORL,ORL,True,False,AWAY,ORL,1.0,2.24,124.00000000000003,124.00000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-28,TOR,NYK,0.6266132774152411,1.8,2.05,NYK,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-28|TOR|NYK,NYK,True,False,HOME,TOR,0.0,1.8,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-28,UTA,GSW,0.5347726532389238,3.85,1.28,GSW,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-28|UTA|GSW,GSW,True,False,HOME,UTA,0.0,3.85,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-27,DEN,DET,0.4831766775074529,3.15,1.38,DET,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-27|DEN|DET,DET,True,False,AWAY,DET,1.0,1.38,37.999999999999986,37.999999999999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-27,NYK,SAC,0.6472507848996196,1.13,6.25,NYK,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-27|NYK|SAC,NYK,True,True,HOME,NYK,1.0,1.13,12.99999999999999,12.99999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-27,OKC,NOP,0.7208918845452061,1.12,6.75,OKC,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-27|OKC|NOP,OKC,True,True,HOME,OKC,1.0,1.12,12.00000000000001,12.00000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-27,PHI,MIL,0.5116808576362128,1.22,4.5,PHI,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-27|PHI|MIL,PHI,True,True,HOME,PHI,1.0,1.22,21.999999999999996,21.999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-27,PHO,BRK,0.667948820815848,1.26,4.0,PHO,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-27|PHX|BRK,PHX,True,True,HOME,PHO,1.0,1.26,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-27,UTA,LAC,0.3200457036671725,3.7,1.29,LAC,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-27|UTA|LAC,LAC,True,False,AWAY,LAC,1.0,1.29,29.000000000000004,29.000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-27,WAS,POR,0.3589125551937692,3.15,1.38,WAS,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-27|WAS|POR,WAS,True,True,AWAY,POR,0.0,1.38,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-26,ATL,IND,0.5556491350764399,1.44,2.85,ATL,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-26|ATL|IND,ATL,True,True,HOME,ATL,1.0,1.44,43.99999999999999,43.99999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-26,BOS,POR,0.6520939286573967,1.33,3.45,BOS,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-26|BOS|POR,BOS,True,True,HOME,BOS,1.0,1.33,33.00000000000001,33.00000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-26,CHI,LAL,0.5577821279700614,1.98,1.85,LAL,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-26|CHI|LAL,LAL,True,False,HOME,CHI,0.0,1.98,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,True,False,HOME,CHI,HOME_ML,1.98,100.0,,,False,True,True,False,False,False,False
2026-01-26,CHO,PHI,0.6319440350322418,1.74,2.14,CHO,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-26|CHO|PHI,CHO,True,True,HOME,CHO,1.0,1.74,74.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-26,CLE,ORL,0.6259577576647946,1.4,3.05,CLE,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-26|CLE|ORL,CLE,True,True,HOME,CLE,1.0,1.4,39.99999999999999,39.99999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-26,HOU,MEM,0.5730487290946986,1.23,4.4,HOU,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-26|HOU|MEM,HOU,True,True,HOME,HOU,1.0,1.23,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-26,MIN,GSW,0.5744474397762707,1.36,3.25,MIN,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-26|MIN|GSW,MIN,True,True,HOME,MIN,1.0,1.36,36.00000000000001,36.00000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-25,DET,SAC,0.6696656044345634,1.15,5.7,DET,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-25|DET|SAC,DET,True,True,HOME,DET,1.0,1.15,14.999999999999991,14.999999999999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-25,LAC,BRK,0.6152300360444871,1.29,3.75,LAC,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-25|LAC|BRK,LAC,True,True,HOME,LAC,1.0,1.29,29.000000000000004,29.000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-25,MIN,GSW,0.6597522304209914,1.41,3.0,GSW,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-25|MIN|GSW,GSW,True,False,HOME,MIN,0.0,1.41,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,True,False,HOME,MIN,HOME_ML,1.41,100.0,,,False,True,True,False,False,False,False
2026-01-25,OKC,TOR,0.6550501098967052,1.19,4.9,TOR,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-25|OKC|TOR,TOR,True,False,HOME,OKC,0.0,1.19,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-25,PHO,MIA,0.6465176172632007,1.56,2.5,MIA,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-25|PHX|MIA,MIA,True,False,HOME,PHO,0.0,1.56,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-25,SAS,NOP,0.571253214071861,1.19,5.0,NOP,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-25|SAS|NOP,NOP,True,False,HOME,SAS,0.0,1.19,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-24,CHI,BOS,0.5546132112864925,1.82,2.02,CHI,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-24|CHI|BOS,CHI,True,True,HOME,CHI,1.0,1.82,82.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-24,CHO,WAS,0.6362450756980725,1.2,4.8,CHO,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-24|CHO|WAS,CHO,True,True,HOME,CHO,1.0,1.2,19.999999999999996,19.999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-24,DAL,LAL,0.5928273331048893,2.4,1.6,LAL,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-24|DAL|LAL,LAL,True,False,HOME,DAL,0.0,2.4,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-24,ORL,CLE,0.4061525956589444,1.74,2.14,CLE,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-24|ORL|CLE,CLE,True,False,AWAY,CLE,1.0,2.14,114.00000000000001,114.00000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-24,PHI,NYK,0.4211362528320194,1.87,1.95,NYK,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-24|PHI|NYK,NYK,True,False,AWAY,NYK,1.0,1.95,95.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-24,UTA,MIA,0.4069267851610156,3.0,1.41,MIA,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-24|UTA|MIA,MIA,True,False,AWAY,MIA,1.0,1.41,40.99999999999999,40.99999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-23,ATL,PHO,0.3978462268605768,2.36,1.62,ATL,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-23|ATL|PHX,ATL,True,True,AWAY,PHO,0.0,1.62,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-23,BRK,BOS,0.3120279404685067,3.85,1.28,BOS,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-23|BRK|BOS,BOS,True,False,AWAY,BOS,1.0,1.28,28.000000000000004,28.000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-23,CLE,SAC,0.6401399934929236,1.18,5.1,CLE,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-23|CLE|SAC,CLE,True,True,HOME,CLE,1.0,1.18,17.999999999999993,17.999999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-23,DET,HOU,0.6090419645868045,1.56,2.5,HOU,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-23|DET|HOU,HOU,True,False,HOME,DET,0.0,1.56,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-23,MEM,NOP,0.4507753417399343,1.44,2.85,NOP,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-23|MEM|NOP,NOP,True,False,AWAY,NOP,1.0,2.85,185.0,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-23,MIL,DEN,0.6240139866548581,1.41,3.0,DEN,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-23|MIL|DEN,DEN,True,False,HOME,MIL,0.0,1.41,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-01-23,OKC,IND,0.7023656339061689,1.09,8.0,IND,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-01-23|OKC|IND,IND,True,False,HOME,OKC,0.0,1.09,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,NO_BET_OTHER,False,False,False,,,,,,,,False,False,False,False,False,False,False
