date,home_team,away_team,home_win_rate,home_team_prob,prob_iso,prob_iso_oos_time,prob_live_oos_proxy,prob_live_safe_pre_clip,prob_base,prob_used,odds_1,odds_2,market_implied_p_raw,market_implied_p_devig,model_market_gap,model_market_gap_flag,live_underdog_upscale_guard_triggered,live_shrink_triggered,live_oos_proxy_ready,live_oos_proxy_used,live_oos_proxy_train_rows,live_oos_proxy_bin_n,live_oos_proxy_bin_winrate,blocked_by,EV_€_per_100,stake_flat,potential_profit_if_win,won,pnl_flat,cum_profit_flat,bankroll_flat,bankroll_after_flat
2026-02-19,NYK,DET,0.6,,0.775,,,,,0.706,1.59,,,,,,,,,,,,,,12.253999999999998,100.0,59.0,,,,,
2026-02-22,LAL,BOS,0.6,,0.5920398009950248,,,,,0.5920398009950248,2.1,,,,,,,,,,,,,,24.328358208955223,100.0,110.0,,,,,
2026-02-22,PHO,POR,0.55,,0.5920398009950248,,,,,0.5920398009950248,2.36,,,,,,,,,,,,,,39.72139303482586,100.0,136.0,,,,,
2026-02-26,ORL,HOU,0.6,,0.4951456310679611,,,,,0.4951456310679611,2.24,,,,,,,,,,,,,,10.912621359223309,100.0,124.0,,,,,
2026-03-01,NYK,SAS,0.55,,0.5777777777777777,,,,,0.575,1.95,,,,,,,,,,,,,,12.124999999999986,100.0,95.0,,,,,
2026-03-04,NYK,OKC,0.7,,1.0,,,,,0.7305362271926504,2.45,,,,,,,,,,,,,,78.98137566219937,100.0,145.0,,,,,
2026-03-05,SAS,DET,0.88,,0.6792452830188679,,,,,0.6307692307692307,1.65,,,,,,,,,,,,,,4.076923076923067,100.0,65.0,,,,,
2026-03-08,MIA,DET,0.56,,0.6846846846846847,,,,,0.6389473684210526,2.1,,,,,,,,,,,,,,34.178947368421056,100.0,110.0,,,,,
2026-03-10,LAL,MIN,0.67,,0.6124031007751938,,,,,0.592972972972973,2.2,,,,,,,,,,,,,,30.45405405405408,100.0,120.0,,,,,
2026-03-11,NOP,TOR,0.71,,0.7008547008547008,,,,,0.6555555555555556,2.2,,,,,,,,,,,,,,44.22222222222223,100.0,120.0,,,,,
2026-03-11,ORL,CLE,0.67,,0.6170212765957447,,,,,0.5867727156544505,2.4,,,,,,,,,,,,,,40.82545175706813,100.0,140.0,,,,,
2026-03-14,LAL,DEN,0.71,,0.7033898305084746,,,,,0.4582726258323064,2.3,,,,,,,,,,,,,,5.402703941430465,100.0,130.0,,,,,
2026-03-16,HOU,LAL,0.6,,0.6179775280898876,,,,,0.5796144722934888,1.74,,,,,,,,,,,,,,0.8529181790670581,100.0,74.0,,,,,
2026-03-19,NOP,LAC,0.78,,0.6229508196721312,,,,,0.5618978159949058,1.8,,,,,,,,,,,,,,1.141606879083057,100.0,80.0,,,,,
2026-03-30,ATL,BOS,0.92,,0.5964912280701754,,,,,0.555067267797869,1.82,,,,,,,,,,,,,,1.0222427392121536,100.0,82.0,,,,,
2026-04-03,PHI,MIN,0.67,0.6342918941234155,0.6437499999999999,,0.6418906846727708,0.6418906846727708,0.6418906846727708,0.5807509320606616,1.74,2.14,0.5747126436781609,0.5515463917525772,0.0903442929201935,0.0,0.0,0.0,1.0,1.0,1098.0,41.0,0.606563693455418,,1.050662178555123,100.0,74.0,,,,,
2026-04-10,LAL,PHO,0.8,0.5549287246298479,0.6031746031746031,,0.5990509814205007,0.5990509814205007,0.5990509814205007,0.4592681834342504,2.2,1.7,0.4545454545454545,0.4358974358974359,0.1631535455230648,1.0,0.0,1.0,1.0,1.0,1148.0,45.0,0.520702168092554,,1.0390003555351135,100.0,120.0,,,,,
2026-04-23,TOR,CLE,0.67,0.5498725605210177,0.4999999999999999,,0.4905809936051175,0.4905809936051175,0.4905809936051175,0.447027427399512,2.3,1.65,0.4347826086956522,0.4177215189873418,0.0728594746177757,0.0,0.0,0.0,1.0,1.0,1199.0,50.0,0.3116198721023535,,2.816308301887771,100.0,130.0,,,,,
2026-05-05,DET,CLE,0.64,0.656437841840934,0.7012195121951219,,0.6887820715713889,0.6887820715713889,0.6887820715713889,0.5984944000726067,1.68,2.24,0.5952380952380952,0.5714285714285715,0.11735350014281742,0.0,0.0,0.0,1.0,1.0,1233.0,49.0,0.4524706997204626,,0.5470592121979201,100.0,68.0,,,,,
